city_code,都道府県,市区町村,総人口,保育サービスの使いやすさ,コロナ後の昼間人口増加率,WiFiスポット数（一人あたり）,徒歩での日常サービスへのアクセス,通勤時間の短さ,地域内経済循環,new_value総合点,納税者一人あたり平均所得,失業率,小売店増加率（2007→2016年）,人口増加率（2010→2020）,old_value総合点
12220,千葉県,流山市,195476,9,10,1,10,10,10,50,6,5,8,10,29
23205,愛知県,半田市,120078,9,8,8,6,7,10,48,5,5,6,6,22
25202,滋賀県,彦根市,112975,10,8,9,6,9,5,47,3,6,7,7,23
12206,千葉県,木更津市,135617,7,9,9,5,6,10,46,4,4,10,8,26
29205,奈良県,橿原市,121736,6,7,8,9,5,10,45,4,2,7,3,16
47201,沖縄県,那覇市,322011,6,3,10,10,6,10,45,3,1,1,6,11
1203,北海道,小樽市,114425,9,4,9,8,9,4,43,1,1,5,1,8
1206,北海道,釧路市,168086,8,2,7,7,10,9,43,1,3,6,1,11
31201,鳥取県,鳥取市,186960,6,5,10,6,10,6,43,1,3,5,2,11
35215,山口県,周南市,142482,9,6,5,5,9,9,43,3,5,2,1,11
44202,大分県,別府市,116821,9,1,9,10,10,4,43,1,1,3,3,8
16202,富山県,高岡市,170493,4,8,9,5,8,8,42,2,6,2,2,12
20202,長野県,松本市,238737,7,5,10,4,9,7,42,4,6,7,5,22
24202,三重県,四日市市,311551,8,6,9,4,6,9,42,5,8,7,6,26
29209,奈良県,生駒市,119483,3,9,10,8,2,10,42,6,4,9,5,24
32203,島根県,出雲市,174995,9,6,7,2,9,9,42,1,10,10,10,31
33203,岡山県,津山市,100669,9,7,9,2,10,5,42,1,3,3,1,8
7203,福島県,郡山市,322996,8,7,10,4,8,4,41,3,2,5,3,13
12222,千葉県,我孫子市,132183,10,10,1,9,1,10,41,5,4,3,3,15
13104,東京都,新宿区,348452,7,1,10,9,4,10,41,10,6,7,10,33
15222,新潟県,上越市,191197,10,7,5,2,10,7,41,1,6,3,1,11
21214,岐阜県,可児市,102327,10,7,5,4,7,8,41,2,5,5,9,21
23100,愛知県,名古屋市,2301639,6,1,10,10,5,9,41,6,4,3,8,21
40100,福岡県,北九州市,950602,9,3,6,9,6,8,41,3,1,1,3,8
1202,北海道,函館市,255308,2,1,8,9,10,10,40,1,1,4,1,7
2201,青森県,青森市,281232,2,7,9,7,9,6,40,1,1,2,1,5
12100,千葉県,千葉市,972516,6,7,6,9,3,9,40,5,3,8,8,24
12212,千葉県,佐倉市,175045,10,8,2,8,4,8,40,5,4,7,5,21
13118,東京都,荒川区,217146,9,10,3,9,3,6,40,5,4,1,10,20
14213,神奈川県,大和市,239192,7,10,7,7,2,7,40,5,3,5,9,22
23219,愛知県,小牧市,153026,8,6,8,6,9,3,40,4,5,7,8,24
31202,鳥取県,米子市,147857,4,4,9,5,9,9,40,2,5,3,4,14
38205,愛媛県,新居浜市,118970,10,7,5,3,10,5,40,2,5,3,2,12
2202,青森県,弘前市,170212,2,2,10,6,9,10,39,1,3,4,1,9
7202,福島県,会津若松市,118322,2,2,10,7,10,8,39,1,1,5,1,8
7204,福島県,いわき市,321535,8,4,9,3,8,7,39,2,2,5,1,10
11225,埼玉県,入間市,147727,9,9,5,1,5,10,39,3,3,10,4,20
12204,千葉県,船橋市,642938,9,9,5,10,1,5,39,5,5,8,9,27
13103,東京都,港区,260379,2,10,10,9,5,3,39,10,10,1,10,31
13105,東京都,文京区,226114,8,1,9,9,4,8,39,10,10,1,10,31
21213,岐阜県,各務原市,147651,9,9,5,1,7,8,39,3,6,10,6,25
23207,愛知県,豊川市,186802,10,6,7,5,6,5,39,3,6,10,7,26
23217,愛知県,江南市,100615,10,8,2,4,5,10,39,4,5,6,5,20
23220,愛知県,稲沢市,136702,10,8,4,4,4,9,39,4,8,9,6,27
24204,三重県,松阪市,163477,10,5,6,3,6,9,39,3,4,3,3,13
34212,広島県,東広島市,188779,9,6,5,4,7,8,39,3,8,7,8,26
37201,香川県,高松市,427131,5,3,9,6,8,8,39,3,4,6,5,18
40219,福岡県,大野城市,101156,7,8,5,10,5,4,39,4,3,7,8,22
41202,佐賀県,唐津市,121278,4,8,4,4,9,10,39,1,2,3,1,7
43202,熊本県,八代市,126667,10,3,6,8,10,2,39,1,2,1,2,6
1207,北海道,帯広市,166043,6,2,8,7,10,5,38,2,5,10,4,21
4215,宮城県,大崎市,129444,10,7,8,1,8,4,38,1,2,5,2,10
9201,栃木県,宇都宮市,521754,5,6,9,2,6,10,38,5,4,8,7,24
11218,埼玉県,深谷市,143219,9,7,5,1,6,10,38,2,2,7,4,15
12207,千葉県,松戸市,498473,7,9,4,10,1,7,38,5,3,6,8,22
12224,千葉県,鎌ケ谷市,109954,8,9,2,10,1,8,38,4,2,6,7,19
13102,東京都,中央区,168361,5,1,10,9,5,8,38,10,10,8,10,38
13113,東京都,渋谷区,229671,5,1,10,9,4,9,38,10,5,8,10,33
13116,東京都,豊島区,290246,8,1,10,9,3,7,38,8,3,9,10,30
14206,神奈川県,小田原市,190580,9,4,9,2,5,9,38,4,4,2,3,13
22210,静岡県,富士市,253354,5,5,7,6,8,7,38,3,4,9,4,20
24207,三重県,鈴鹿市,199884,10,7,7,2,7,5,38,4,5,10,7,26
27210,大阪府,枚方市,401074,8,9,1,9,3,8,38,4,2,3,4,13
33100,岡山県,岡山市,708973,4,2,9,7,7,9,38,4,3,8,7,22
38206,愛媛県,西条市,108961,8,10,6,3,10,1,38,1,3,4,2,10
40203,福岡県,久留米市,305311,9,3,3,7,7,9,38,3,2,4,5,14
41201,佐賀県,佐賀市,232476,1,4,10,5,8,10,38,3,4,9,4,20
42202,長崎県,佐世保市,249681,4,6,5,6,8,9,38,2,1,6,2,11
2203,青森県,八戸市,227812,1,3,10,4,10,9,37,1,1,5,2,9
8201,茨城県,水戸市,271912,6,2,10,7,6,6,37,5,4,8,6,23
13109,東京都,品川区,401704,8,1,9,9,4,6,37,10,6,4,10,30
13117,東京都,北区,353908,9,9,4,9,3,3,37,5,4,1,10,20
13205,東京都,青梅市,133032,10,8,2,2,5,10,37,3,2,1,2,8
13214,東京都,国分寺市,125170,9,10,4,8,1,5,37,8,6,3,9,26
20201,長野県,長野市,375884,8,2,8,6,8,5,37,3,6,7,3,19
22203,静岡県,沼津市,194869,7,5,9,7,8,1,37,3,2,4,1,10
23222,愛知県,東海市,115058,10,4,8,6,6,3,37,5,10,4,9,28
24203,三重県,伊勢市,125462,3,1,10,4,9,10,37,3,5,4,2,14
34100,広島県,広島市,1195775,7,3,7,10,6,4,37,5,4,9,7,25
37202,香川県,丸亀市,112899,6,8,6,2,7,8,37,2,4,8,6,20
40202,福岡県,大牟田市,113587,8,7,4,5,10,3,37,1,1,3,1,6
47208,沖縄県,浦添市,115340,4,5,6,9,6,7,37,1,1,1,7,10
47211,沖縄県,沖縄市,142634,5,6,6,6,7,7,37,1,1,1,8,11
8221,茨城県,ひたちなか市,158660,10,4,7,3,6,6,36,4,4,9,5,22
